,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
302,22-10-22,Chevrolet,Lanos,Benzene,manual,Gray,2010,165,110
303,22-10-22,Renault,Duster,Benzene,automatic,White,2019,130,450
304,22-10-22,Chevrolet,Aveo,Benzene,automatic,Light grey,2020,40.2,244
305,22-10-22,Volkswagen,Passat,Benzene,automatic,Silver,2014,153,430
306,22-10-22,Fiat,Shahin,Benzene,manual,Green,1996,0,43
307,22-10-22,MG,ZS,Benzene,automatic,Blue,2022,11,545
308,22-10-22,Chevrolet,Optra,Benzene,automatic,Dark blue,2021,16,325
309,22-10-22,Kia,Sportage,Benzene,automatic,Dark red,2022,10,950
310,22-10-22,Nissan,Sunny,Benzene,automatic,Gray,2020,39,325
311,22-10-22,Changan,Alsvin,Benzene,automatic,Silver,2022,25,265
312,22-10-22,Mitsubishi,Lancer,Benzene,manual,Bronze,1993,320,70
313,22-10-22,Hyundai,Tucson Turbo GDI  || Tucson Turbo,Benzene,automatic,White,2018,83,770
314,22-10-22,Renault,Logan,Benzene,manual,Blue,2010,35,180
315,22-10-22,Chevrolet,Optra,Benzene,automatic,White,2014,79,275
316,22-10-22,Chevrolet,Lanos,Benzene,manual,Red,2009,220,125
317,22-10-22,Haval,H6,Benzene,automatic,White,2022,0.9,800
318,22-10-22,Kia,Sportage,Benzene,automatic,White,2015,131,630
319,22-10-22,Suzuki,Ciaz,Benzene,automatic,Blue,2015,165,300
320,22-10-22,Mercedes,200,Benzene,automatic,Black,2022,0,1350
321,22-10-22,Jeep,Grand Cherokee,Benzene,automatic,Gray,2018,75,1490
322,22-10-22,Toyota,Corolla,Benzene,automatic,White,2022,0.05,780
323,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Gray,2021,30,398
324,22-10-22,BMW,X1,Benzene,automatic,White,2019,125,890
325,22-10-22,BMW,318,Benzene,automatic,Dark blue,2018,80,850
326,22-10-22,Jeep,Grand Cherokee,Benzene,automatic,White,2020,29,1890
327,22-10-22,Renault,Megane,Benzene,automatic,White,2022,4.9,520
328,22-10-22,Mitsubishi,Colt,Benzene,manual,White,1992,200,52
329,22-10-22,Kia,Sportage,Benzene,automatic,Gray,2020,63,750
330,22-10-22,Skoda,Felicia,Benzene,manual,Dark red,1996,0,65
331,22-10-22,Peugeot,207,Benzene,manual,Gray,2008,233.221,160
332,22-10-22,Fiat,127,Benzene,manual,Blue,1985,0,15
333,22-10-22,BMW,X1,Benzene,automatic,Black,2020,75,950
334,22-10-22,Fiat,128,Benzene,manual,Blue,1996,0,500
335,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Gold,2019,150,334
